condition,n_images,mAP50_mask,mAP_mask,mAP50_box,mAP50_river,mAP50_road,mAP50_rock,mAP50_tree
Kite_training_cloudy,663,0.3148126766910665,0.18736957994109013,0.3097566969824428,0.18736957994109013,0.18736957994109013,0.36877467545486387,0.0059644844273164365
Kite_training_foggy,663,0.307268645036722,0.18601048942678364,0.3016855829578643,0.18601048942678364,0.18601048942678364,0.3673351534177418,0.004685825435825435
Kite_training_sunny,663,0.27597012530793397,0.16608079943267454,0.2757472448919069,0.16608079943267454,0.16608079943267454,0.3263331184088847,0.0058284804564643754
PLE_training_fall,663,0.07291720706385765,0.03566893252323191,0.07325840517005011,0.0,0.03566893252323191,0.09333132928692799,0.013675468282767764
PLE_training_spring,663,0.1113006489451932,0.055335252379548505,0.1113190159256116,0.0,0.055335252379548505,0.1528903347001947,0.013115422438450838
PLE_training_winter,663,0.16615385351009815,0.0955070039602188,0.16354892589679113,0.0,0.0,0.37360190189684767,0.00842611394402752
