epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
23,11866.2,1.62833,3.01618,1.48441,1.40582,0,0.54521,0.46685,0.45571,0.29558,0.5303,0.43752,0.41733,0.23922,1.97695,3.38183,2.05578,1.64969,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,12377.1,1.61787,3.00057,1.47287,1.40196,0,0.48813,0.47375,0.43413,0.28008,0.47502,0.45174,0.40372,0.22915,1.96755,3.36634,2.05453,1.64222,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,12886.2,1.61626,3.00245,1.47458,1.40157,0,0.54541,0.50262,0.47909,0.30866,0.51195,0.48148,0.44295,0.25664,1.95171,3.33398,2.01709,1.6289,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,13382.9,1.61459,3.00432,1.46836,1.39815,0,0.53582,0.49984,0.48244,0.31497,0.51819,0.47091,0.44335,0.25572,1.9455,3.32523,1.98943,1.618,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,13884.3,1.61434,3.00077,1.46621,1.39798,0,0.53772,0.51125,0.47953,0.31446,0.52281,0.47967,0.44072,0.25521,1.95436,3.3369,2.02862,1.62819,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,14386,1.60952,2.98739,1.45962,1.39552,0,0.5418,0.49044,0.47245,0.30753,0.53635,0.45306,0.43605,0.25567,1.94209,3.32062,2.00188,1.61003,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,14893.7,1.60471,2.98144,1.45808,1.39382,0,0.54679,0.50186,0.47684,0.31108,0.52071,0.48095,0.43969,0.25662,1.93449,3.33447,1.9954,1.61175,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,15402.1,1.59721,2.97397,1.44746,1.38919,0,0.55493,0.50241,0.48073,0.31464,0.52692,0.47645,0.44085,0.25655,1.9254,3.32186,1.99903,1.61318,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,15919.6,1.59881,2.97726,1.45137,1.39146,0,0.5314,0.50975,0.47049,0.30352,0.50476,0.47479,0.42658,0.24661,1.93801,3.32672,2.00212,1.61374,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,16438.1,1.58958,2.96873,1.4426,1.38466,0,0.53301,0.49975,0.47139,0.30673,0.50852,0.46461,0.42613,0.24867,1.92966,3.32164,1.99496,1.61283,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,16956.2,1.5868,2.96437,1.43549,1.38194,0,0.53806,0.50611,0.47137,0.30553,0.52374,0.47021,0.42704,0.24967,1.93259,3.31188,1.9921,1.61364,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,17475.1,1.58388,2.95898,1.43778,1.38173,0,0.54528,0.5131,0.48501,0.31676,0.52977,0.48697,0.45059,0.26351,1.93035,3.3056,1.99347,1.6092,0,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,18041.8,1.58364,2.9485,1.43172,1.37709,0,0.548,0.50584,0.47653,0.31515,0.53255,0.47856,0.44132,0.25723,1.93277,3.3139,1.99667,1.61028,0,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
