epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,550.771,1.38579,3.5724,1.96321,1.40433,0,0.40524,0.24509,0.21902,0.14328,0.39304,0.21371,0.18577,0.08696,1.58079,3.65409,2.32018,1.46849,0,0.00999259,0.00333086,0.00999259,0.00333086,0.00999259,0.00333086,0.00999259,0.00333086
2,1010.89,1.28288,3.16768,1.3814,1.31031,0,0.41142,0.23133,0.18505,0.09789,0.32403,0.17171,0.11037,0.0507,1.69953,3.89095,2.94063,1.51248,0,0.0197947,0.00659822,0.0197947,0.00659822,0.0197947,0.00659822,0.0197947,0.00659822
3,1434.3,1.30009,3.14761,1.3219,1.31738,0,0.35436,0.21106,0.17696,0.11139,0.31198,0.16535,0.12206,0.05369,1.70367,4.07729,2.65144,1.5066,0,0.0293987,0.00979958,0.0293987,0.00979958,0.0293987,0.00979958,0.0293987,0.00979958
4,1853.34,1.29413,3.10603,1.27364,1.31325,0,0.41255,0.24267,0.21258,0.13874,0.36376,0.19486,0.14649,0.0659,1.60552,3.87816,2.44809,1.46059,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2289.01,1.25428,3.01903,1.20565,1.28729,0,0.39508,0.25121,0.22669,0.14837,0.34298,0.20308,0.16934,0.07717,1.58018,3.64411,2.3976,1.41866,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2715.58,1.22569,2.96758,1.15761,1.26953,0,0.4683,0.2775,0.24923,0.15679,0.44717,0.22833,0.19429,0.1009,1.57728,3.8328,2.43112,1.40614,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3132.88,1.20589,2.92635,1.1278,1.25655,0,0.43595,0.24643,0.23339,0.16096,0.40922,0.2061,0.1794,0.08836,1.50475,3.72591,2.49362,1.34038,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3518.91,1.18868,2.89366,1.10571,1.24596,0,0.46325,0.27149,0.24419,0.15794,0.44281,0.2159,0.18771,0.09447,1.60402,3.74025,2.32276,1.41206,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3924.66,1.17547,2.87286,1.08809,1.23845,0,0.38988,0.24661,0.22344,0.15464,0.34465,0.20203,0.16634,0.07844,1.52987,3.59225,2.39009,1.35703,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
