epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
11,7623.67,1.85065,3.22433,1.62082,1.49623,0,0.23522,0.18015,0.10317,0.05401,0.20244,0.15001,0.07368,0.02871,2.45939,4.26367,2.56449,1.82535,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,8310.25,1.84016,3.2111,1.60702,1.48837,0,0.2985,0.18135,0.14831,0.08761,0.27528,0.15705,0.11735,0.04784,2.55309,4.23207,2.71204,1.84405,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,9004.64,1.83203,3.19565,1.59734,1.48229,0,0.31394,0.22231,0.15593,0.08631,0.27862,0.19047,0.1151,0.05272,2.42464,4.12255,2.43551,1.82923,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,9694.96,1.82404,3.18463,1.58295,1.47412,0,0.34883,0.24238,0.16226,0.08289,0.31186,0.20376,0.1117,0.04294,2.44642,4.1954,2.49676,1.86536,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,10375,1.81312,3.17199,1.57269,1.46854,0,0.26819,0.17764,0.12902,0.06435,0.22259,0.1399,0.08048,0.02795,2.49437,4.20209,2.63775,1.85938,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,11058.8,1.8091,3.1682,1.57046,1.46749,0,0.3115,0.16613,0.12374,0.07024,0.27896,0.1467,0.09674,0.04249,2.46553,4.0875,2.54411,1.85083,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,11737.2,1.80154,3.15684,1.5572,1.46157,0,0.30574,0.17333,0.09959,0.0529,0.25189,0.15181,0.07663,0.03924,2.43527,4.13062,inf,1.87707,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,12432.7,1.79799,3.1526,1.55495,1.45627,0,0.37494,0.22098,0.16732,0.1017,0.3454,0.19839,0.1385,0.06654,2.40136,4.05846,2.46565,1.8131,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,13123,1.78997,3.13919,1.54407,1.44982,0,0.30032,0.19089,0.15404,0.089,0.29183,0.15937,0.11775,0.04668,2.42604,4.03952,2.53821,1.84749,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,13804.6,1.78235,3.13518,1.53765,1.44922,0,0.33682,0.21456,0.17411,0.10304,0.30757,0.18273,0.13324,0.05994,2.41207,4.12757,2.52085,1.82061,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,14489.7,1.78635,3.13585,1.53626,1.44636,0,0.27075,0.18789,0.11028,0.05539,0.21757,0.15605,0.07251,0.0322,2.43808,4.16974,2.45423,1.81033,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
