epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,723.699,2.13614,3.85382,2.66846,1.7362,0,0.44976,0.23272,0.22186,0.13978,0.43387,0.21953,0.19822,0.10729,2.47876,4.30206,2.70834,1.97159,0,0.00995984,0.00331995,0.00995984,0.00331995,0.00995984,0.00331995,0.00995984,0.00331995
2,1431.7,1.97783,3.48947,1.926,1.59897,0,0.38527,0.23174,0.16314,0.09342,0.36094,0.20622,0.13638,0.05988,2.52674,4.57771,2.81213,2.06779,0,0.0197622,0.00658741,0.0197622,0.00658741,0.0197622,0.00658741,0.0197622,0.00658741
3,2133.7,2.01021,3.48796,1.8787,1.60478,0,0.35918,0.19227,0.18032,0.09618,0.36809,0.14732,0.12999,0.05115,2.75189,5.64115,3.25241,2.15525,0,0.0293666,0.00978888,0.0293666,0.00978888,0.0293666,0.00978888,0.0293666,0.00978888
4,2823.83,2.02382,3.48039,1.84099,1.60952,0,0.24232,0.13983,0.10881,0.05554,0.24474,0.11269,0.085,0.03397,2.61846,4.82499,2.7988,2.0259,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3509.64,1.96805,3.39441,1.77213,1.57763,0,0.2566,0.13064,0.09974,0.05218,0.23712,0.11706,0.08627,0.03714,2.56195,4.39181,2.79292,2.03326,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4195.65,1.93958,3.34636,1.72709,1.55539,0,0.29806,0.229,0.14947,0.08234,0.29181,0.19571,0.12369,0.05801,2.51843,4.29558,2.60886,1.95891,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4878.98,1.90264,3.3035,1.69106,1.53701,0,0.23084,0.1512,0.06797,0.0325,0.15135,0.1171,0.03654,0.01559,2.5924,4.58337,2.6887,1.91262,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5563.14,1.89051,3.28291,1.66897,1.52312,0,0.35292,0.17275,0.11795,0.06454,0.33089,0.15682,0.10125,0.04669,2.48321,4.34675,2.65191,1.93145,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,6253.39,1.86981,3.25342,1.64767,1.51191,0,0.21716,0.16686,0.07055,0.0359,0.18793,0.14147,0.05883,0.02864,2.50072,4.24071,2.62984,1.89295,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,6939.91,1.86405,3.24311,1.63556,1.50521,0,0.27177,0.16863,0.10015,0.05281,0.24338,0.14791,0.08001,0.03755,2.40992,4.1022,2.46927,1.87327,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
