epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
18,20519.9,1.81606,3.23721,1.55885,1.4564,0,0.56068,0.40471,0.38724,0.25277,0.56748,0.379,0.36026,0.21242,2.09091,3.48305,2.00255,1.61413,0,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,21622.4,1.80651,3.22003,1.54702,1.45093,0,0.57932,0.41662,0.41357,0.27087,0.57761,0.39861,0.38797,0.2239,2.08306,3.47066,1.9925,1.60501,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,22759.3,1.80673,3.22226,1.5488,1.45118,0,0.5453,0.41035,0.38617,0.25371,0.58546,0.38139,0.36586,0.21751,2.08242,3.45486,2.00472,1.60407,0,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,23968.8,1.79875,3.2115,1.54073,1.44578,0,0.55072,0.41116,0.38928,0.2564,0.59821,0.35926,0.36164,0.21009,2.07831,3.46114,1.99426,1.60538,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,25093,1.79573,3.20896,1.53828,1.4448,0,0.56156,0.40755,0.3995,0.26559,0.59502,0.36975,0.37343,0.21713,2.07344,3.46137,2.00052,1.59415,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,26210.5,1.79654,3.21097,1.53693,1.44339,0,0.5887,0.40239,0.39754,0.26392,0.58914,0.38117,0.3748,0.21488,2.07193,3.45481,1.98785,1.59651,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,27380.9,1.79233,3.2024,1.5297,1.44083,0,0.577,0.41119,0.39281,0.2603,0.56839,0.38808,0.36892,0.21482,2.06963,3.44395,1.99086,1.59377,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,28571.9,1.78606,3.19409,1.52435,1.43469,0,0.64092,0.39728,0.40712,0.27109,0.62623,0.38076,0.38,0.21533,2.07141,3.44271,1.98376,1.5968,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,30049.6,1.78751,3.19665,1.52154,1.43419,0,0.61819,0.40846,0.4058,0.26951,0.61162,0.3872,0.38241,0.21943,2.07023,3.4424,1.99126,1.59596,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,31263.3,1.78398,3.1867,1.51963,1.43081,0,0.57429,0.43082,0.41702,0.27622,0.60802,0.39365,0.39446,0.22451,2.06565,3.4376,1.97633,1.59274,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,32467.8,1.77854,3.18541,1.51254,1.42753,0,0.60231,0.41158,0.4051,0.26967,0.61938,0.38202,0.38218,0.22036,2.06715,3.43458,1.98157,1.58866,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,33735.4,1.7748,3.17895,1.51235,1.42877,0,0.58988,0.42085,0.40589,0.27158,0.63085,0.38149,0.38329,0.22095,2.06464,3.43139,1.97946,1.58853,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,35043.8,1.77586,3.18228,1.50878,1.4268,0,0.60773,0.40304,0.39873,0.26657,0.58861,0.39224,0.37786,0.21704,2.06732,3.43575,1.98567,1.59027,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,36583.8,1.7693,3.17212,1.50617,1.42483,0,0.56921,0.41934,0.39519,0.26338,0.56375,0.39895,0.37394,0.21592,2.06582,3.43644,1.98256,1.59188,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,37871.6,1.76564,3.16751,1.49969,1.42121,0,0.62702,0.39292,0.39806,0.26563,0.61231,0.37905,0.37629,0.21782,2.06515,3.43413,1.98011,1.59008,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,39679.2,1.76469,3.16535,1.5012,1.42063,0,0.57653,0.41579,0.39546,0.26539,0.58451,0.38836,0.37329,0.21552,2.06463,3.43593,1.98118,1.58805,0,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
