epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1113.23,2.13146,3.85625,2.50309,1.7156,0,0.38128,0.27512,0.23481,0.15263,0.43744,0.21598,0.20242,0.10911,2.32566,3.91952,2.3655,1.82756,0,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586,0.00997758,0.00332586
2,2537.55,1.99877,3.55317,1.89139,1.59019,0,0.46271,0.2781,0.24876,0.14382,0.43437,0.25086,0.20986,0.09462,2.35039,3.90252,2.30132,1.81888,0,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327,0.0197798,0.00659327
3,3597.47,2.02419,3.5549,1.85018,1.60308,0,0.47912,0.15594,0.11824,0.06954,0.44153,0.13507,0.09654,0.04813,2.67903,4.61124,3.00386,2.18005,0,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467,0.029384,0.00979467
4,4653.39,2.0203,3.51917,1.8084,1.60101,0,0.54957,0.28237,0.30189,0.17761,0.5217,0.26303,0.27313,0.12871,2.34141,3.90221,2.34248,1.80642,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5723.8,1.96744,3.44326,1.74102,1.56319,0,0.47199,0.3087,0.27309,0.1671,0.43459,0.30349,0.24484,0.1191,2.29392,3.75765,2.28584,1.79479,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6772.82,1.93955,3.40321,1.70066,1.5405,0,0.46454,0.2693,0.24443,0.15308,0.44604,0.26137,0.22442,0.12264,2.23761,3.7301,2.24834,1.71957,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7821.96,1.91262,3.37094,1.67417,1.5238,0,0.49707,0.32804,0.30067,0.18082,0.49795,0.30335,0.26727,0.13182,2.32924,3.77027,2.44472,1.77493,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,8878.12,1.89668,3.3454,1.6525,1.51173,0,0.56957,0.34064,0.3484,0.21458,0.5495,0.315,0.30106,0.1583,2.17513,3.62392,2.15052,1.68273,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,9933.88,1.88039,3.32457,1.63471,1.50109,0,0.43763,0.36779,0.31306,0.19725,0.43455,0.3363,0.28213,0.15933,2.18988,3.60482,2.13145,1.68525,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,10984.3,1.87296,3.30843,1.62236,1.49461,0,0.51493,0.37372,0.34855,0.22476,0.53655,0.33975,0.32876,0.19599,2.15693,3.5948,2.07467,1.67726,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12044.4,1.85802,3.29101,1.61035,1.48878,0,0.55573,0.40125,0.39702,0.25392,0.59189,0.3635,0.36232,0.20282,2.14179,3.56657,2.07252,1.6521,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,13131.4,1.85011,3.28396,1.6,1.48183,0,0.54543,0.40328,0.39231,0.25324,0.5134,0.37568,0.35232,0.1974,2.13796,3.5357,2.06934,1.65286,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,14649.2,1.84279,3.27084,1.58955,1.47576,0,0.58923,0.42812,0.42987,0.27799,0.61728,0.40306,0.40434,0.22835,2.11266,3.50143,2.04453,1.62195,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,15853.5,1.8337,3.26073,1.57906,1.47083,0,0.56559,0.39191,0.37823,0.25291,0.56498,0.37748,0.36047,0.21161,2.11768,3.5053,2.03563,1.62831,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,17038.6,1.83314,3.25619,1.57433,1.4678,0,0.64041,0.39464,0.42016,0.2707,0.60992,0.37083,0.38376,0.21993,2.11827,3.5072,2.01198,1.62096,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,18247.1,1.82403,3.24384,1.56717,1.46325,0,0.57684,0.4173,0.41518,0.27228,0.58847,0.38317,0.38474,0.22173,2.09443,3.49379,2.00275,1.62097,0,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,19404.1,1.8178,3.2373,1.56305,1.45985,0,0.55775,0.41046,0.39624,0.25222,0.58372,0.37425,0.37218,0.21084,2.10932,3.48531,2.00587,1.6295,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
