2026-05-26 09:21:48.810 | INFO     | __main__:train:103 - Run dir: experiments\20260526_092148_embedding
2026-05-26 09:21:48.810 | INFO     | __main__:train:107 - Loading instance index from data\instance_index
2026-05-26 09:21:52.797 | INFO     | __main__:train:114 - Train: 27904 instances → 436 batches/epoch | Val: 3359 instances
2026-05-26 09:21:53.015 | INFO     | __main__:train:143 - Backbone frozen for first 5 epochs
2026-05-26 11:09:10.211 | INFO     | __main__:train:203 - Epoch  23/50 | train_loss=0.0427 | val_loss=0.0473 | val_AUC=0.9740 | lr=6.55e-05
2026-05-26 11:13:55.798 | INFO     | __main__:train:203 - Epoch  24/50 | train_loss=0.0418 | val_loss=0.0480 | val_AUC=0.9734 | lr=6.21e-05
2026-05-26 11:18:38.333 | INFO     | __main__:train:203 - Epoch  25/50 | train_loss=0.0408 | val_loss=0.0473 | val_AUC=0.9740 | lr=5.87e-05
2026-05-26 11:23:21.608 | INFO     | __main__:train:203 - Epoch  26/50 | train_loss=0.0410 | val_loss=0.0475 | val_AUC=0.9748 | lr=5.52e-05
2026-05-26 11:28:04.869 | INFO     | __main__:train:203 - Epoch  27/50 | train_loss=0.0387 | val_loss=0.0428 | val_AUC=0.9763 | lr=5.17e-05
2026-05-26 11:28:04.900 | SUCCESS  | __main__:train:215 -   New best AUC=0.9763 → experiments\20260526_092148_embedding\best.pt
2026-05-26 11:32:47.927 | INFO     | __main__:train:203 - Epoch  28/50 | train_loss=0.0389 | val_loss=0.0462 | val_AUC=0.9753 | lr=4.83e-05
2026-05-26 11:37:29.778 | INFO     | __main__:train:203 - Epoch  29/50 | train_loss=0.0384 | val_loss=0.0455 | val_AUC=0.9762 | lr=4.48e-05
2026-05-26 11:42:09.049 | INFO     | __main__:train:203 - Epoch  30/50 | train_loss=0.0394 | val_loss=0.0444 | val_AUC=0.9758 | lr=4.13e-05
2026-05-26 11:46:50.869 | INFO     | __main__:train:203 - Epoch  31/50 | train_loss=0.0382 | val_loss=0.0406 | val_AUC=0.9783 | lr=3.79e-05
2026-05-26 11:46:50.900 | SUCCESS  | __main__:train:215 -   New best AUC=0.9783 → experiments\20260526_092148_embedding\best.pt
2026-05-26 11:51:30.571 | INFO     | __main__:train:203 - Epoch  32/50 | train_loss=0.0379 | val_loss=0.0429 | val_AUC=0.9763 | lr=3.45e-05
2026-05-26 11:56:09.145 | INFO     | __main__:train:203 - Epoch  33/50 | train_loss=0.0374 | val_loss=0.0433 | val_AUC=0.9766 | lr=3.13e-05
2026-05-26 12:00:46.651 | INFO     | __main__:train:203 - Epoch  34/50 | train_loss=0.0377 | val_loss=0.0443 | val_AUC=0.9760 | lr=2.81e-05
2026-05-26 12:05:26.736 | INFO     | __main__:train:203 - Epoch  35/50 | train_loss=0.0378 | val_loss=0.0437 | val_AUC=0.9773 | lr=2.50e-05
2026-05-26 12:10:07.969 | INFO     | __main__:train:203 - Epoch  36/50 | train_loss=0.0372 | val_loss=0.0440 | val_AUC=0.9772 | lr=2.20e-05
2026-05-26 12:14:46.140 | INFO     | __main__:train:203 - Epoch  37/50 | train_loss=0.0356 | val_loss=0.0418 | val_AUC=0.9776 | lr=1.92e-05
2026-05-26 12:19:29.724 | INFO     | __main__:train:203 - Epoch  38/50 | train_loss=0.0372 | val_loss=0.0414 | val_AUC=0.9773 | lr=1.65e-05
2026-05-26 12:24:08.352 | INFO     | __main__:train:203 - Epoch  39/50 | train_loss=0.0358 | val_loss=0.0440 | val_AUC=0.9769 | lr=1.40e-05
2026-05-26 12:28:50.598 | INFO     | __main__:train:203 - Epoch  40/50 | train_loss=0.0356 | val_loss=0.0436 | val_AUC=0.9775 | lr=1.17e-05
2026-05-26 12:33:29.422 | INFO     | __main__:train:203 - Epoch  41/50 | train_loss=0.0342 | val_loss=0.0429 | val_AUC=0.9764 | lr=9.55e-06
2026-05-26 12:38:07.753 | INFO     | __main__:train:203 - Epoch  42/50 | train_loss=0.0366 | val_loss=0.0482 | val_AUC=0.9747 | lr=7.60e-06
2026-05-26 12:43:07.790 | INFO     | __main__:train:203 - Epoch  43/50 | train_loss=0.0363 | val_loss=0.0404 | val_AUC=0.9775 | lr=5.85e-06
2026-05-26 12:48:22.026 | INFO     | __main__:train:203 - Epoch  44/50 | train_loss=0.0339 | val_loss=0.0443 | val_AUC=0.9771 | lr=4.32e-06
2026-05-26 12:54:47.361 | INFO     | __main__:train:203 - Epoch  45/50 | train_loss=0.0351 | val_loss=0.0449 | val_AUC=0.9759 | lr=3.02e-06
