condition,n_images,mAP50_mask,mAP_mask,mAP50_box,mAP50_river,mAP50_road,mAP50_rock,mAP50_tree
Kite_training_cloudy,441,0.37850477607194866,0.23757644037458578,0.3715345663689828,0.23757644037458578,0.23757644037458578,0.4647006213501611,0.010452259399010563
Kite_training_foggy,441,0.35689954180460415,0.23253001311178562,0.3520096531103454,0.23253001311178562,0.23253001311178562,0.4571717350223025,0.007888291201268754
Kite_training_sunny,441,0.35151738717180253,0.22151288725821394,0.34679235364197397,0.22151288725821394,0.22151288725821394,0.4296512533322329,0.013374521184194979
PLE_training_fall,441,0.29131903748952714,0.14987941932955967,0.2952611116529229,0.14987941932955967,0.14987941932955967,0.2697217138220801,0.03003712483703915
PLE_training_spring,441,0.3070826090350462,0.16144190315432522,0.31239264950527734,0.16144190315432522,0.16144190315432522,0.2943325318188409,0.028551274489809514
PLE_training_winter,441,0.27554906984047667,0.16435705027548647,0.27079061698929074,0.16435705027548647,0.0,0.4749750651572139,0.018096085669245532
